SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015
162,6,0,9598,0,0,0,A,Calabasas city,California,23058,23462,23474,23795,23916,24179,24236,24319
162,6,0,9710,0,0,0,A,Calexico city,California,38572,38573,38667,39064,39379,39566,39860,40053
162,6,0,9780,0,0,0,A,California City city,California,14120,14120,13469,12849,13373,13244,13261,13277
162,6,0,9864,0,0,0,A,Calimesa city,California,7879,7885,7924,8011,8116,8231,8421,8542
162,6,0,9878,0,0,0,A,Calipatria city,California,7705,7705,7699,7700,8010,7114,7526,7424
162,6,0,9892,0,0,0,A,Calistoga city,California,5155,5155,5165,5202,5231,5274,5303,5330
162,6,0,10046,0,0,0,A,Camarillo city,California,65201,65221,65339,65666,65880,66166,66881,67608
162,6,0,10345,0,0,0,A,Campbell city,California,39349,39348,39460,39855,40386,40789,41156,41117
162,6,0,10928,0,0,0,A,Canyon Lake city,California,10561,10561,10611,10721,10819,10907,11006,11080
162,6,0,11040,0,0,0,A,Capitola city,California,9918,9918,9931,9974,10021,10083,10135,10189
162,6,0,11194,0,0,0,A,Carlsbad city,California,105328,105459,105844,107768,109402,111242,112305,113453
162,6,0,11250,0,0,0,A,Carmel-by-the-Sea city,California,3722,3722,3731,3769,3810,3847,3876,3897
162,6,0,11446,0,0,0,A,Carpinteria city,California,13040,13044,13060,13084,13223,13555,13678,13727
162,6,0,11530,0,0,0,A,Carson city,California,91714,91714,91641,91886,92487,92782,93078,93281
162,6,0,12048,0,0,0,A,Cathedral City city,California,51200,51200,51439,52126,52596,53030,53436,53826
162,6,0,12524,0,0,0,A,Ceres city,California,45417,45897,45971,46179,46471,46782,47333,47963
162,6,0,12552,0,0,0,A,Cerritos city,California,49041,49047,49067,49336,49572,49780,49887,49975
162,6,0,13014,0,0,0,A,Chico city,California,86187,86401,86395,86891,87657,88179,89314,90316
162,6,0,13210,0,0,0,A,Chino city,California,77983,77972,78573,79606,80060,81022,84645,85595
162,6,0,13214,0,0,0,A,Chino Hills city,California,74799,74799,74997,75770,76270,76619,76924,78309
162,6,0,13294,0,0,0,A,Chowchilla city,California,18720,18782,18727,18924,18102,17424,18934,18510
162,6,0,13392,0,0,0,A,Chula Vista city,California,243916,243916,244730,248716,253115,257708,261189,265757
162,6,0,13588,0,0,0,A,Citrus Heights city,California,83301,83255,83380,83958,84592,85286,86118,87056
162,6,0,13756,0,0,0,A,Claremont city,California,34926,34929,34962,35308,35444,35867,35985,36283
162,6,0,13882,0,0,0,A,Clayton city,California,10897,10918,10962,11160,11292,11511,11697,11867
162,6,0,13945,0,0,0,A,Clearlake city,California,15250,15250,15267,15143,15073,15019,15081,15182
162,6,0,14190,0,0,0,A,Cloverdale city,California,8618,8618,8627,8664,8687,8744,8785,8811
162,6,0,14218,0,0,0,A,Clovis city,California,95631,95699,96156,97447,98598,99756,102133,104180
162,6,0,14260,0,0,0,A,Coachella city,California,40704,40704,40994,41942,42694,43133,44124,44635
162,6,0,14274,0,0,0,A,Coalinga city,California,13380,18089,18085,18069,16834,16767,16446,16564
162,6,0,14498,0,0,0,A,Colfax city,California,1963,1950,1958,1980,1992,2003,2010,2005
162,6,0,14736,0,0,0,A,Colma town,California,1792,1447,1450,1468,1487,1501,1513,1520
162,6,0,14890,0,0,0,A,Colton city,California,52154,52155,52289,52803,53105,53335,53997,54621
162,6,0,14946,0,0,0,A,Colusa city,California,5971,5971,5978,5955,5963,5958,5932,5935
162,6,0,14974,0,0,0,A,Commerce city,California,12823,12846,12851,12921,12983,13037,13061,13081
162,6,0,15044,0,0,0,A,Compton city,California,96455,96412,96491,97150,97715,98134,98321,98462
162,6,0,16000,0,0,0,A,Concord city,California,122067,122277,122659,123763,124985,126283,127556,128667
162,6,0,16224,0,0,0,A,Corcoran city,California,24813,24813,24402,24015,23582,23262,22765,22477
162,6,0,16322,0,0,0,A,Corning city,California,7663,7663,7678,7633,7612,7562,7533,7548
162,6,0,16350,0,0,0,A,Corona city,California,152374,152374,153162,154989,157903,159441,161289,164226
162,6,0,16378,0,0,0,A,Coronado city,California,18912,24697,24034,23640,24421,24709,24663,24812
162,6,0,16462,0,0,0,A,Corte Madera town,California,9253,9253,9262,9339,9374,9463,9906,9901
162,6,0,16532,0,0,0,A,Costa Mesa city,California,109960,110078,110195,111191,111961,112531,112840,113204
162,6,0,16560,0,0,0,A,Cotati city,California,7265,7265,7275,7310,7333,7390,7424,7445
162,6,0,16742,0,0,0,A,Covina city,California,47796,47792,47811,48072,48392,48614,48883,48984
162,6,0,17022,0,0,0,A,Crescent City city,California,7643,7640,7594,7520,7387,7165,6777,6774
162,6,0,17498,0,0,0,A,Cudahy city,California,23805,23805,23815,23950,24068,24174,24234,24311
162,6,0,17568,0,0,0,A,Culver City city,California,38883,38904,38913,39116,39362,39533,39616,39717
162,6,0,17610,0,0,0,A,Cupertino city,California,58302,58572,58729,59257,59896,60360,60739,60572
162,6,0,17750,0,0,0,A,Cypress city,California,47802,47860,47977,48486,48836,49192,49202,49290
162,6,0,17918,0,0,0,A,Daly City city,California,101123,101146,101334,102646,104147,105211,106069,106562
162,6,0,17946,0,0,0,A,Dana Point city,California,33351,33293,33356,33700,33944,34121,34119,34181
162,6,0,17988,0,0,0,A,Danville town,California,42039,41859,41996,42420,42864,43359,43925,44400
162,6,0,18100,0,0,0,A,Davis city,California,65622,65636,65600,65761,65946,66423,66807,67666
162,6,0,18394,0,0,0,A,Delano city,California,53041,53041,53133,53667,52498,52465,52636,52733
162,6,0,18506,0,0,0,A,Del Mar city,California,4161,4161,4172,4206,4247,4288,4314,4351
162,6,0,18688,0,0,0,A,Del Rey Oaks city,California,1624,1624,1628,1644,1662,1674,1682,1688
162,6,0,18996,0,0,0,A,Desert Hot Springs city,California,25938,27049,27176,27465,27710,27936,28164,28335
162,6,0,19192,0,0,0,A,Diamond Bar city,California,55544,55552,55592,55958,56277,56522,56662,56897
162,6,0,19318,0,0,0,A,Dinuba city,California,21453,21453,21569,22643,22879,23324,23645,23702
162,6,0,19402,0,0,0,A,Dixon city,California,18351,18392,18410,18481,18622,18954,19148,19390
162,6,0,19584,0,0,0,A,Dorris city,California,939,939,941,931,916,904,903,907
162,6,0,19612,0,0,0,A,Dos Palos city,California,4950,4950,4965,5012,5035,5051,5079,5125
162,6,0,19766,0,0,0,A,Downey city,California,111772,111770,111824,112454,112989,113464,113885,114219
162,6,0,19990,0,0,0,A,Duarte city,California,21321,21321,21353,21468,21676,21763,21955,21990
162,6,0,20018,0,0,0,A,Dublin city,California,46036,46036,45918,46868,48794,52169,54730,57721
162,6,0,20242,0,0,0,A,Dunsmuir city,California,1650,1640,1640,1621,1598,1576,1572,1582
162,6,0,20956,0,0,0,A,East Palo Alto city,California,28155,28155,28233,28595,28979,29266,29523,29662
162,6,0,21230,0,0,0,A,Eastvale city,California,A,53683,53954,54585,55150,55670,56984,59039
